"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"ENSG00000000419.8",5.04439411935845,6.85798099512757,8.78463484555752,8.51175265376738,7.23840473932508,7.56224242422107,8.54689445988764,6.55458885167764,6.89481776330794,8.19475685442225,6.2667865406949,7.876516946565
"ENSG00000000457.9",6.61470984411521,8.4093909361377,9.37937836707126,9.48179943166575,8.4262647547021,8.49984588708321,9.77478705960117,7.64385618977472,9.14210705730255,9.41362792902417,7.72109918870718,9.61470984411521
"ENSG00000000938.8",10.1674181458317,11.7627972624982,12.1601865766007,12.8879821330585,11.5574637015978,12.1376315982354,12.9837061926593,10.6183855022586,12.3148664310532,12.9503736350245,10.6733090755617,13.6425030287805
"ENSG00000000971.11",4.85798099512757,3.90689059560852,7.39231742277876,6.96578428466209,6.06608919045777,5.32192809488736,6.8073549220576,6.37503943134692,7.08746284125034,5.70043971814109,5,5.8073549220576
"ENSG00000001036.9",6.02236781302845,7.22881869049588,8.24317398347295,8.76487159073609,7.18982455888002,7.43462822763672,8.3037807481771,5.28540221886225,7.98299357469431,8.37503943134693,5.7279204545632,8.14974711950468
"ENSG00000001167.10",7.18982455888002,9.01680828768655,9.50382573799575,9.91886323727459,8.99435343685886,8.74483383749955,10.1331422124006,7.8703647195834,9.4655664048094,9.78299820892041,8.24792751344359,10.5206186805563
"ENSG00000001461.12",6.98868468677217,8.89784545600551,10.0848083878044,9.8703647195834,9.27844945822048,7.76155123244448,9.89935692292311,8.35314682549808,10.1433832139898,9.92035285541508,8.92777796208234,10.2796105810525
"ENSG00000001497.12",5.49185309632967,6.2667865406949,7.83289001416474,7.82017896241519,7.20945336562895,5.97727992349992,8.35314682549808,6.53915881110803,7.93663793900257,8.04984854945056,7.02236781302845,8.35314682549808
"ENSG00000001561.6",5.90689059560852,8.10852445677817,9.36194377373524,8.91288933622996,7.40087943628218,8.19475685442225,9.74986942739684,7.72109918870718,8.60362634498619,9.00562454919388,7.14974711950468,9.23840473932508
"ENSG00000001630.11",0,3.32192809488736,4,5.49185309632967,3.58496250072116,3.70043971814109,4.8073549220576,4.16992500144231,3.90689059560852,4.58496250072116,2.58496250072116,5.24792751344359
"ENSG00000002016.12",4.39231742277876,6.3037807481771,7.11894107272351,7.10852445677817,6.55458885167764,5.83289001416474,7.4757334309664,5.08746284125034,7.39231742277876,7.33985000288462,6.08746284125034,7.22881869049588
"ENSG00000002549.8",7.74819284958946,10.7355560239115,10.1598713367784,11.8045344029952,8.8008998999203,9.20701432017753,9.33315535031062,7.2667865406949,9.283088353024,9.37068740680722,7.43462822763672,9.76818432477693
"ENSG00000002587.5",2.32192809488736,1,4.70043971814109,2.58496250072116,3.16992500144231,1,5.64385618977472,2.8073549220576,4.52356195605701,5.95419631038687,3.16992500144231,4.58496250072116
"ENSG00000002726.15",3.16992500144231,0,2.58496250072116,5.52356195605701,3.8073549220576,0,5.55458885167764,2,1.58496250072116,4,2,0
"ENSG00000002745.8",2.32192809488736,0,3.32192809488736,1.58496250072116,2.32192809488736,0,3.70043971814109,4.85798099512757,4.4594316186373,4.95419631038687,2.8073549220576,3.70043971814109
"ENSG00000002834.13",9.8811139606751,11.3912435894274,11.7249401184624,12.3406846543634,11.6073303137496,11.6710987257485,12.5264992391366,10.3944626946103,12.1078709142796,12.6816776552097,10.4532706340106,13.3436021377457
"ENSG00000002919.10",7,8.74483383749955,9.01122725542325,9.53332973230583,8.60362634498619,9.00281501560705,9.97010589061218,7.65821148275179,9.34651373316563,10.0182001788132,7.59991284218713,10.4848228942621
"ENSG00000002933.3",5.90689059560852,1.58496250072116,7.57742882803575,5.16992500144231,5.61470984411521,2.58496250072116,8.38801728534514,6.76818432477693,4.32192809488736,5.4594316186373,1.58496250072116,3.70043971814109
"ENSG00000003096.9",2,1.58496250072116,3.8073549220576,3.70043971814109,3,1,3.4594316186373,0,3.8073549220576,4.4594316186373,2.32192809488736,2.8073549220576
"ENSG00000003137.4",0,0,1,0,0,0,5.61470984411521,3,1.58496250072116,1.58496250072116,1,0
"ENSG00000003249.9",1.58496250072116,1.58496250072116,4.08746284125034,1,3.32192809488736,0,3.70043971814109,3.8073549220576,4.85798099512757,5.93073733756289,2.8073549220576,4
"ENSG00000003402.15",11.7648715907361,13.0549434165733,13.5929241556276,14.2587868376616,13.125736329395,13.5338163894334,14.3639978223584,12.0354864512922,13.3734089602287,14.0677704574478,11.9861975872063,14.9276390922982
"ENSG00000003509.11",5.28540221886225,7.58496250072116,8.56985560833095,7.93073733756289,7.45121111183233,7.4178525148859,8.51963625284321,6.68650052718322,8.01680828768655,8.38370429247405,6.64385618977472,8.5077946401987
"ENSG00000004059.6",7.29462074889163,9.04712391211403,9.67065624911844,9.96578428466209,9.18982455888002,9.11113567023471,10.0701209444768,8.04984854945056,9.63117705570398,10.4146852358072,8.14974711950468,10.5018371849023
"ENSG00000004139.9",6.02236781302845,7.48381577726426,8.84862294042934,8.70390357344466,8.10328780841202,7.10852445677817,9.01402047031493,7.32192809488736,8.85798099512757,8.82017896241519,7.40087943628218,8.93663793900257
"ENSG00000004468.8",6.02236781302845,8.70390357344466,7.98868468677217,7.6724253419715,7.07681559705083,8.00562454919388,7.78135971352466,5.97727992349992,8.4093909361377,8.33091687811462,6.4594316186373,8.79441586635011
"ENSG00000004660.10",5.55458885167764,6.93073733756289,7.32192809488736,7.88874324889826,6.4093909361377,8.62935662007961,8.2667865406949,6.33985000288462,7.66533591718518,8.25738784269265,6.76818432477693,9.05799172275918
"ENSG00000004700.11",6.68650052718322,9.06608919045777,10.5517082616207,10.5147140541385,9.17741953798924,9.40726776424473,10.4093909361377,8.43045255166553,9.25266543245025,10.0887882387169,8.22881869049588,9.74146698640115
"ENSG00000004779.5",4.85798099512757,6.24792751344359,8.00562454919388,7.93073733756289,7.10852445677817,6.4594316186373,7.86418614465428,6.18982455888002,7.14974711950468,7.83920378809694,5.78135971352466,7.48381577726426
"ENSG00000004838.9",3.16992500144231,3,3.70043971814109,4.16992500144231,2.32192809488736,3.90689059560852,4.70043971814109,3.16992500144231,4,4.70043971814109,1,4.52356195605701
"ENSG00000004846.12",0,0,1.58496250072116,1.58496250072116,3.70043971814109,2.58496250072116,0,0,0,1.58496250072116,2,1
"ENSG00000004864.9",5.52356195605701,6.16992500144231,7.56985560833095,7.62205181945638,6.95419631038687,6.39231742277876,7.59245703726808,4.8073549220576,7.71424551766612,7.70735913208088,5.95419631038687,8.10852445677817
"ENSG00000004939.9",12.8616685206136,12.9647018574204,11.5102696708982,12.7903484967519,15.0936238847374,14.758535542718,11.7287708495427,11.4125698468052,13.4595596931228,10.9203528554151,13.6651138103352,13.2030420555625
"ENSG00000004975.7",5.32192809488736,6.74146698640115,7.79441586635011,8.05528243550119,7.22881869049588,6.59991284218713,8.3037807481771,6.4262647547021,7.84549005094437,8.10328780841202,6.4757334309664,8.44708322620965
"ENSG00000005007.8",8.39660478118186,9.98584193700334,10.6293566200796,11.0774833568595,10.6064052126978,10.7698378436294,11.283088353024,9.28771237954945,10.7490313820402,11.3476213685681,9.32192809488736,12.1468868354159
"ENSG00000005020.8",8.24317398347295,9.85174904141606,10.7287708495427,11.2227949028681,10.5497846679479,10.2807707701306,11.3331553503106,8.70390357344466,10.7406240444894,11.0593444608244,8.92481250360578,11.8423503434138
